DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%,GPU
05/13/18,12:47:06,3984.00,66,64,65,64,3.0,67
05/13/18,12:47:07,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:08,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:09,3984.00,65,63,66,64,3.1,67
05/13/18,12:47:10,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:11,3984.00,65,63,65,64,2.8,67
05/13/18,12:47:12,3984.00,64,63,64,64,3.0,67
05/13/18,12:47:13,3984.00,65,64,65,64,2.9,67
05/13/18,12:47:14,3984.00,66,63,64,64,3.0,67
05/13/18,12:47:15,3984.00,65,63,65,64,2.7,67
05/13/18,12:47:16,3984.00,65,64,64,64,3.4,67
05/13/18,12:47:17,3984.00,66,63,65,64,3.1,67
05/13/18,12:47:18,3984.00,64,63,65,65,2.9,67
05/13/18,12:47:19,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:20,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:21,3984.00,65,64,64,65,2.7,67
05/13/18,12:47:22,3984.00,65,63,65,64,2.7,67
05/13/18,12:47:23,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:24,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:25,3984.00,64,63,64,64,2.8,67
05/13/18,12:47:26,3984.00,65,63,64,64,2.9,67
05/13/18,12:47:27,3984.00,65,63,64,65,3.0,67
05/13/18,12:47:28,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:29,3984.00,65,63,65,64,2.9,67
05/13/18,12:47:30,3984.00,66,63,65,65,2.9,67
05/13/18,12:47:31,3984.00,65,63,65,65,2.7,67
05/13/18,12:47:32,3984.00,64,63,64,64,2.8,67
05/13/18,12:47:33,3984.00,66,63,66,64,2.7,67
05/13/18,12:47:34,3984.00,66,64,64,64,2.7,67
05/13/18,12:47:35,3984.00,66,63,65,64,2.8,67
05/13/18,12:47:36,3984.00,66,63,64,64,2.8,67
05/13/18,12:47:37,3984.00,65,63,64,65,2.8,67
05/13/18,12:47:38,3984.00,65,63,65,65,2.9,67
05/13/18,12:47:39,3984.00,65,64,65,64,2.8,67
05/13/18,12:47:40,3984.00,66,64,64,65,2.9,67
05/13/18,12:47:41,3984.00,65,65,65,64,2.8,67
05/13/18,12:47:42,3984.00,65,65,65,65,2.8,67
05/13/18,12:47:43,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:44,3984.00,65,65,65,64,2.8,67
05/13/18,12:47:45,3984.00,65,65,65,65,2.8,67
05/13/18,12:47:46,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:47,3984.00,65,66,65,65,2.8,67
05/13/18,12:47:48,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:49,3984.00,65,63,64,64,2.7,67
05/13/18,12:47:50,3984.00,65,63,65,64,3.7,67
05/13/18,12:47:51,3984.00,65,63,65,65,3.0,67
05/13/18,12:47:52,3984.00,64,63,65,64,3.0,67
05/13/18,12:47:53,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:54,3984.00,66,63,65,65,3.5,67
05/13/18,12:47:55,3984.00,65,63,65,64,2.9,67
05/13/18,12:47:56,3984.00,66,63,65,64,2.9,67
05/13/18,12:47:57,3984.00,65,63,64,64,2.8,67
05/13/18,12:47:58,3984.00,65,63,65,65,2.8,67
05/13/18,12:47:59,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:00,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:01,3984.00,66,63,64,64,2.7,67
05/13/18,12:48:02,3984.00,65,63,65,64,2.9,67
05/13/18,12:48:03,3984.00,65,63,64,64,2.7,67
05/13/18,12:48:04,3984.00,65,63,65,65,2.7,67
05/13/18,12:48:05,3984.00,65,63,64,64,2.8,67
05/13/18,12:48:06,3984.00,65,63,64,65,2.8,67
05/13/18,12:48:07,3984.00,65,64,65,64,3.1,67
05/13/18,12:48:08,3984.00,65,63,66,65,3.2,67
05/13/18,12:48:09,3984.00,65,63,65,64,3.3,67
05/13/18,12:48:10,3984.00,65,63,64,64,3.3,67
05/13/18,12:48:11,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:12,3984.00,64,63,64,64,3.1,67
05/13/18,12:48:13,3984.00,65,63,64,65,3.0,67
05/13/18,12:48:14,3984.00,65,63,64,64,2.8,67
05/13/18,12:48:15,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:16,3984.00,65,63,64,65,3.4,67
05/13/18,12:48:17,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:18,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:19,3984.00,66,63,65,64,3.0,67
05/13/18,12:48:20,3984.00,65,63,65,64,3.0,67
05/13/18,12:48:21,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:22,3984.00,65,63,64,64,3.0,67
05/13/18,12:48:23,3984.00,65,63,64,64,2.9,67
05/13/18,12:48:24,3984.00,65,63,64,65,3.0,67
05/13/18,12:48:25,3984.00,66,63,64,65,3.1,67
05/13/18,12:48:26,3984.00,65,63,64,64,3.0,67
05/13/18,12:48:27,3984.00,66,63,64,64,3.0,67
05/13/18,12:48:28,3984.00,65,63,64,64,3.5,67
05/13/18,12:48:29,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:30,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:31,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:32,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:33,3984.00,64,63,64,64,2.9,67
05/13/18,12:48:34,3984.00,65,63,64,64,3.6,67
05/13/18,12:48:35,3984.00,64,63,65,65,3.1,67
05/13/18,12:48:36,3984.00,66,63,65,64,3.0,67
05/13/18,12:48:37,3984.00,65,63,64,64,3.1,67
05/13/18,12:48:38,3984.00,67,67,69,67,3.9,65
05/13/18,12:48:39,3984.00,67,66,65,67,9.6,65
05/13/18,12:48:40,3984.00,64,63,63,66,8.0,66
05/13/18,12:48:41,3984.00,65,62,64,64,7.4,66
05/13/18,12:48:42,3984.00,66,63,64,65,6.8,62
05/13/18,12:48:43,3984.00,61,60,61,62,4.5,62
05/13/18,12:48:44,3984.00,61,60,61,62,1.1,62
05/13/18,12:48:45,3984.00,62,60,60,61,1.2,62
05/13/18,12:48:46,3984.00,61,59,61,62,1.1,62
05/13/18,12:48:47,3984.00,60,58,59,60,1.0,62
05/13/18,12:48:48,3984.00,60,59,59,59,1.2,62
05/13/18,12:48:49,3984.00,58,57,58,59,0.9,62
05/13/18,12:48:50,3984.00,57,56,58,58,0.9,62
05/13/18,12:48:51,3984.00,58,56,57,57,0.9,62
05/13/18,12:48:52,3984.00,58,56,57,57,1.0,62
05/13/18,12:48:53,3984.00,57,56,57,57,0.7,62
05/13/18,12:48:54,3984.00,55,54,56,56,0.9,62
05/13/18,12:48:55,3984.00,56,54,56,56,0.9,62
05/13/18,12:48:56,3984.00,55,54,56,56,0.9,62
05/13/18,12:48:57,3984.00,54,53,56,55,0.9,62
05/13/18,12:48:58,3984.00,54,53,56,54,0.9,62
05/13/18,12:48:59,3984.00,54,52,55,54,0.9,62
05/13/18,12:49:00,3984.00,54,52,54,54,1.1,62
05/13/18,12:49:01,3984.00,53,52,54,53,1.0,62
05/13/18,12:49:02,3984.00,53,52,54,53,1.0,62
05/13/18,12:49:03,3984.00,53,51,54,53,0.8,62
05/13/18,12:49:04,3984.00,53,51,52,53,0.9,62
